MethylVinylKetone CH3C(O)CH=CH2
  = x = stratosphere only
p = p = p-T fit interpolate in pressure (then read in press and M next 2 lines
p/hPa  177  566  999    approx 13 - 5 - 0 km
[M]   0.58 1.50 2.46    M in e19
T/K    220  272  295    read in up to 3 titles depending on number of T's>0
MeVK  |CH3C(O)CH=CH2 > | MethylVinyl Ketone = CH3C(O)CH=CH2    JPL10
MeVK                   | =>C3H6+CO[0.6] CH2CHCO+CH3[0.2] CH3CO+C2H3[0.2]
MeVK
Table 4D-21. Absorption Cross Sections of CH3C(O)CH=CH2 at 298 K (1e-20)
                 13 km    5 km    0 km
               0.58+19 1.50+19 2.46+19
                   220     272     295
 123 (f3.0,f6.3,5x,3f8.4)
274 0.0         0.5667  0.3182  0.2183
275 0.929       0.5667  0.3182  0.2183
276 0.998       0.5364  0.3012  0.2066
277 1.08        0.5077  0.2850  0.1956
278 1.15        0.4805  0.2698  0.1851
279 1.24        0.4548  0.2554  0.1752
280 1.33        0.4305  0.2417  0.1658
281 1.41        0.4074  0.2288  0.1569
282 1.50        0.3856  0.2165  0.1485
283 1.60        0.3650  0.2049  0.1406
284 1.70        0.3455  0.1940  0.1331
285 1.81        0.3270  0.1836  0.1259
286 1.91        0.3095  0.1738  0.1192
287 2.03        0.2929  0.1645  0.1128
288 2.15        0.2772  0.1557  0.1068
289 2.29        0.2624  0.1473  0.1011
290 2.43        0.2484  0.1394  0.0957
291 2.55        0.2351  0.1320  0.0905
292 2.67        0.2225  0.1249  0.0857
293 2.81        0.2106  0.1182  0.0811
294 2.93        0.1993  0.1119  0.0768
295 3.08        0.1886  0.1059  0.0727
296 3.24        0.1786  0.1002  0.0688
297 3.39        0.1690  0.0949  0.0651
298 3.56        0.1600  0.0898  0.0616
299 3.70        0.1514  0.0850  0.0583
300 3.87        0.1433  0.0805  0.0552
301 4.05        0.1356  0.0761  0.0522
302 4.20        0.1284  0.0721  0.0494
303 4.35        0.1215  0.0682  0.0468
304 4.51        0.1150  0.0646  0.0443
305 4.66        0.1088  0.0611  0.0419
306 4.82        0.1030  0.0578  0.0397
307 4.96        0.0975  0.0547  0.0376
308 5.13        0.0923  0.0518  0.0355
309 5.30        0.0873  0.0490  0.0336
310 5.44        0.0827  0.0464  0.0318
311 5.58        0.0782  0.0439  0.0301
312 5.73        0.0741  0.0416  0.0285
313 5.87        0.0701  0.0394  0.0270
314 6.02        0.0663  0.0372  0.0256
315 6.14        0.0628  0.0353  0.0242
316 6.28        0.0594  0.0334  0.0229
317 6.42        0.0563  0.0316  0.0217
318 6.54        0.0532  0.0299  0.0205
319 6.63        0.0504  0.0283  0.0194
320 6.70        0.0477  0.0268  0.0184
321 6.76        0.0451  0.0253  0.0174
322 6.83        0.0427  0.0240  0.0165
323 6.85        0.0404  0.0227  0.0156
324 6.88        0.0383  0.0215  0.0147
325 6.95        0.0362  0.0203  0.0140
326 7.02        0.0343  0.0193  0.0132
327 7.09        0.0325  0.0182  0.0125
328 7.16        0.0307  0.0172  0.0118
329 7.23        0.0291  0.0163  0.0112
330 7.28        0.0275  0.0155  0.0106
331 7.30        0.0260  0.0146  0.0100
332 7.26        0.0247  0.0138  0.0095
333 7.18        0.0233  0.0131  0.0090
334 7.04        0.0221  0.0124  0.0085
335 6.94        0.0209  0.0117  0.0081
336 6.85        0.0198  0.0111  0.0076
337 6.70        0.0187  0.0105  0.0072
338 6.56        0.0177  0.0100  0.0068
339 6.47        0.0168  0.0094  0.0065
340 6.44        0.0159  0.0089  0.0061
341 6.42        0.0150  0.0084  0.0058
342 6.35        0.0142  0.0080  0.0055
343 6.35        0.0135  0.0076  0.0052
344 6.30        0.0127  0.0072  0.0049
345 6.23        0.0121  0.0068  0.0046
346 6.14        0.0114  0.0064  0.0044
347 6.08        0.0108  0.0061  0.0042
348 5.77        0.0102  0.0057  0.0039
349 5.47        0.0097  0.0054  0.0037
350 5.20        0.0092  0.0051  0.0035
351 4.94        0.0087  0.0049  0.0033
352 4.72        0.0082  0.0046  0.0032
353 4.53        0.0078  0.0044  0.0030
354 4.32        0.0074  0.0041  0.0028
355 4.15        0.0070  0.0039  0.0027
356 4.03        0.0066  0.0037  0.0025
357 3.94        0.0062  0.0035  0.0024
358 3.89        0.0059  0.0033  0.0023
359 3.89        0.0056  0.0031  0.0022
360 3.68        0.0053  0.0030  0.0020
361 3.60        0.0050  0.0028  0.0019
362 3.49        0.0047  0.0027  0.0018
363 3.36        0.0045  0.0025  0.0017
364 3.29        0.0042  0.0024  0.0016
365 3.03        0.0040  0.0023  0.0015
366 2.77        0.0038  0.0021  0.0015
367 2.50        0.0036  0.0020  0.0014
368 2.20        0.0034  0.0019  0.0013
369 2.01        0.0032  0.0018  0.0012
370 1.88        0.0030  0.0017  0.0012
371 1.74        0.0029  0.0016  0.0011
372 1.58        0.0027  0.0015  0.0011
373 1.48        0.0026  0.0015  0.0010
374 1.39        0.0024  0.0014  0.0009
375 1.31        0.0023  0.0013  0.0009
376 1.26        0.0022  0.0012  0.0008
377 1.24        0.0021  0.0012  0.0008
378 1.21        0.0020  0.0011  0.0008
379 1.21        0.0019  0.0010  0.0007
380 1.05        0.0018  0.0010  0.0007
381 0.981       0.0017  0.0009  0.0006
382 0.912       0.0016  0.0009  0.0006
383 0.878       0.0015  0.0008  0.0006
384 0.929       0.0014  0.0008  0.0005
385 0.757       0.0013  0.0008  0.0005
386 0.637       0.0013  0.0007  0.0005
387 0.534       0.0012  0.0007  0.0005
388 0.448       0.0011  0.0006  0.0004
389 0.396       0.0011  0.0006  0.0004
390 0.344       0.0010  0.0006  0.0004
391 0.310       0.0010  0.0005  0.0004
392 0.293       0.0009  0.0005  0.0004
393 0.275       0.0009  0.0005  0.0003
394 0.241       0.0008  0.0005  0.0003
395 0.207       0.0008  0.0004  0.0003
396 0.0         0.0007  0.0004  0.0003


==========================================================================
MeVK   = Methylvinyl ketone = CH3C(O)CH=CH2
            => C3H6+CO     [0.6] keep recommended branching ratios from IUPAC
            => CH2CHCO+CH3 [0.4]
       J10:  D18, tbl 4D-21

Total Q-yld from Stern-Volmer converted (as in acetone) to 3 different trop levels:
        alt=   0 km      5 km      13 km
        M=  2.46E+19   1.50E+19   5.8E+18
        T=     295K      272K       220K
Only apply a single overall quantum yield PHI
        PHI = exp[ -0.055 * (w-308) ] / 5.5 + 9.2e-19*[M])

Thus there are 3 tables for MeVK, each designated by T(K)



Table 4D-21 Revised. Absorption Cross Sections of CH3C(O)CH=CH2 at 298 K (1e-20)
The quantum yield data were fit to the empirical Stern-Volmer type expression

The quantum yield data were fit to the empirical Stern-Volmer type expression
¦(»,P) = exp[-0.055 (» - 308)] / (5.5 + 9.2 × 10-19 [M])
where » is in nm and [M] in molecule cm-3. This parameterization is recommended


 ==v6.8========fast-JX 18-bin cross-sections=============
MeVK  p177 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 1.794E-22 4.764E-21 5.472E-21 5.837E-21
           5.245E-21 4.486E-21 3.669E-21 1.710E-21 9.053E-23 0.000E+00
