# SOx splits for EmChemXX for GNFR_CAMS sectors
# 
# Key-word, MASS_ASSUMED= 0 by default, 
# change when emissions have artificial mass, e.g. 46 for NOx as NO2
: MASS_ASSUMED 64
 99, 99,     SO2,     SO4,#HEADERS
#DATA
  0,  1,   95.00,    5.00
  0,  2,   95.00,    5.00
  0,  3,   95.00,    5.00
  0,  4,   95.00,    5.00
  0,  5,   95.00,    5.00
  0,  6,   95.00,    5.00
  0,  7,   95.00,    5.00
  0,  8,   95.00,    5.00
  0,  9,   95.00,    5.00
  0, 10,   95.00,    5.00
  0, 11,   95.00,    5.00
  0, 12,   95.00,    5.00
  0, 13,   95.00,    5.00
  0, 14,   95.00,    5.00
  0, 15,   95.00,    5.00
  0, 16,   95.00,    5.00
  0, 17,   95.00,    5.00
  0, 18,   95.00,    5.00
  0, 19,   95.00,    5.00
