UCI FJX v7.3d = 7.3c + new integ of O3&Q1D over wavelength (2/2016)
NEW FMT: Jshort(a6)|Jlong(a16)|Notes, including q's. T or p at begin of block
   18 NWWW   27 NSSS 18 J-bins, reads J's (1-3 Xsect blks interp T or 'p'(until 'endofJ')
w-eff |wavelength (nm) | SPhot wtd, FJ#18 cuts at 778nm
          187.      191.      193.      196.      202.      208.
          211.      214.      261.      267.      277.      295.
          303.      310.      316.      333.      383.      599.
SPhot |solar #/cm2/s   | SUSIM average 11Nov94(low) + 29Mar92(med-high)
    a 1.391E+12 1.627E+12 1.664E+12 9.278E+11 7.842E+12 4.680E+12 solflx
    b 9.918E+12 1.219E+13 6.364E+14 4.049E+14 3.150E+14 5.893E+14 solflx
    c 7.670E+14 5.041E+14 8.895E+14 3.852E+15 1.547E+16 1.805E+17 solflx
SWatt |solarheat W/m2  | ASTM, scaled=1360.8 W/m2 (Kopp&Lean 2011)
    a   0.01473   0.01684   0.01702   0.00937   0.07664   0.04450 solarw
    b   0.09299   0.11278     4.818     2.962     2.218     3.703 solarw
    c     4.670     3.063     5.414     22.28     77.17    608.68 solarw
Y-PAR |photosyn act rad| Mccree 1972ab PAR spectrum
    a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 Y-PAR
    b 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 Y-PAR
    c 0.000E+00 0.000E+00 0.000E+00 5.138E-02 4.855E-01 6.760E-01 Y-PAR
Raylay|Rayleigh Scatter| flux weighted mean cross sections (cm^2)
    a 5.073E-25 4.479E-25 4.196E-25 3.906E-25 3.355E-25 2.929E-25 Raylay
    b 2.736E-25 2.581E-25 1.049E-25 9.492E-26 8.103E-26 6.135E-26 Raylay
    c 5.424E-26 4.925E-26 4.516E-26 3.644E-26 2.082E-26 4.427E-27 Raylay
O2    |O2=O+O          | JPL10
e180a 1.727E-21 1.989E-22 3.004E-23 9.833E-24 7.306E-24 6.827E-24 O2
 180b 6.238E-24 5.748E-24 1.153E-25 5.030E-25 4.150E-25 0.000E+00 O2
 180c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 O2
O2    |
e260a 2.273E-21 3.070E-22 4.943E-23 1.408E-23 7.688E-24 6.827E-24 O2
 260b 6.238E-24 5.888E-24 1.153E-25 5.030E-25 4.150E-25 0.000E+00 O2
 260c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 O2
O2    |
e300a 2.763E-21 4.269E-22 7.478E-23 2.100E-23 8.350E-24 6.827E-24 O2
 300b 6.238E-24 5.994E-24 1.153E-25 5.030E-25 4.150E-25 0.000E+00 O2
 300c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 O2
O3    |O3-total        | JPl10+IUPAC 2/2013 & rev 2/2016 (-1% change in J-O3)
e218a 5.989E-19 4.856E-19 4.307E-19 3.653E-19 3.410E-19 4.849E-19 O3
 218b 6.534E-19 9.320E-19 8.759E-18 3.511E-18 1.508E-18 7.924E-19 O3
 218c 2.456E-19 8.902E-20 3.659E-20 4.539E-21 6.165E-23 1.941E-21 O3
O3    |
e258a 5.991E-19 4.860E-19 4.314E-19 3.666E-19 3.422E-19 4.844E-19 O3
 258b 6.518E-19 9.299E-19 8.832E-18 3.565E-18 1.548E-18 8.272E-19 O3
 258c 2.623E-19 9.770E-20 4.156E-20 5.554E-21 6.165E-23 1.941E-21 O3
O3    |
e298a 5.992E-19 4.863E-19 4.321E-19 3.678E-19 3.432E-19 4.840E-19 O3
 298b 6.504E-19 9.279E-19 8.899E-18 3.615E-18 1.585E-18 8.594E-19 O3
 298c 2.778E-19 1.057E-19 4.615E-20 6.493E-21 6.165E-23 1.941E-21 O3
O3(1D)|Qyld O3=O(1D)+O2| JPL10 3/2013 & rev 2/2016
e218a 4.897E-01 5.074E-01 5.268E-01 5.649E-01 6.557E-01 7.358E-01 O3(1D)  direct calc, not
 218b 7.768E-01 8.169E-01 9.000E-01 9.000E-01 8.984E-01 9.000E-01 O3(1D)  from 77-bin ref file
 218c 8.945E-01 4.680E-01 1.018E-01 7.764E-02 0.000E+00 0.000E+00 O3(1D)  same T's as XO3 !!
O3(1D)|
e258a 4.897E-01 5.074E-01 5.270E-01 5.650E-01 6.556E-01 7.358E-01 O3(1D)
 258b 7.768E-01 8.168E-01 9.000E-01 9.000E-01 8.985E-01 9.000E-01 O3(1D)
 258c 8.951E-01 5.024E-01 1.438E-01 8.392E-02 0.000E+00 0.000E+00 O3(1D)
O3(1D)|
e298a 4.897E-01 5.075E-01 5.271E-01 5.651E-01 6.556E-01 7.358E-01 O3(1D)
