* GenIn.species:  List of species.,,,,,,,
"* Give in order desired for twostep scheme, start with short-lived, then move to slower species.",,,,,,,
"* 2nd column (integer) = 1 for advected species, otherwise 0",,,,,,,
* 3rd column gives chemical forumala - used for mass-balance,,,,,,,
*Extinc is extinction coefficient for AOD calculations,,,,,,,
*DRY give CDDEP species (My_DryDep_ml) most appropriate for this species,,,,,,,
"*,,,,,,,
""* *** Important Notes ***:",,,,,,,
"*  1. Use case correctly in 3rd column - secC4H9O2, *not* SECC4H9O2 which would be assigned 5, not 4 carbon atoms.",,,,,,,
*  2. GenChem uses the 3rd column to calculate masses. If these masses are important use the correct chemical formula!,,,,,,,
*  (masses not usually needed except for emissions input and if output in ug/m3 or similar wanted).,,,,,,,
* Masses assigned in 4th column overwrite any calculated from 3rd,,,,,,,
*  3. GenChem.py reads factors or mapbacks like Cstar or Extinc,,,,,,,
*       from the Groups column. If you want to set e.g. Cstar=3.5, write in the Groups,,,,,,
"*       column: "";Cstar:3.5;""",,,,,,,
* !!! TODO: Add NMHC, NMVOC groups to species !!!
*************************************************************,,,,,,,
Spec,adv,formula,MW,DRY,WET,Groups,!Comments
*
RO2POOL,1,RO2POOL,xx,xx,xx,xx,!
OD,0,O,xx,xx,xx,xx,!
OP,0,O,xx,xx,xx,xx,!
OH,0,OH,xx,xx,xx,xx,!
HO2,0,HO2,xx,xx,xx,xx,!
CH3O2,0,CH3O2,xx,xx,xx,RO2,!
C2H5O2,0,C2H5O2,xx,xx,xx,RO2,!
C4H9O2,0,C4H9O2,xx,xx,xx,RO2,!
ISRO2,0,C5H9O2,xx,xx,xx,RO2,!( 6 isomers)
HCOCH2O2,0,HCOCH2O2,xx,xx,xx,RO2,!
ETRO2,0,CH2O2CH2OH,xx,xx,xx,RO2,!(from ethene ...)
PRRO2,0,CH3CHO2CH2OH,xx,xx,xx,RO2,!(from propene ...)
HMVKO2,0,HOCH2CH(OO)C(CH3)=O,xx,xx,xx,RO2,!(also OOCH2CH(OH)C(=O)CH3) 
OXYBIPERO2,0,C8H11O5,xx,xx,xx,RO2,! used as only product from OXYL+OH
MACO3,0,CH2C(CH3)C(=O)O2,xx,xx,xx,RO2,!(from macr degradation; from MCM)
MEKO2,0,CH3COCHO2CH3,xx,xx,xx,RO2,!(from MEK)
C5DICARBO2,0,CH3COCH(OH)CH(O2)CHO,xx,xx,xx,RO2,!
DM123O2,0,C8H9O2,xx,xx,xx,RO2,!
OXCATEC1O2,0,C8H9O3,xx,xx,xx,RO2,!
CH2O2CO3H,0,CH2O2CO3H,xx,xx,xx,RO2,!
MACRO2,0,O=CHC(O2)(CH3)CH2OH,xx,xx,xx,RO2,!(from macr degredation; from MCM)
HOCH2CO3,0,HOCH2CO3,xx,xx,xx,RO2,!C2
CH3CO3,0,CH3COO2,xx,xx,xx,RO2,!
C2H5CO3,0,C3H5O3,xx,xx,xx,RO2,! 
CO2H3CO3,0,C4H5O5,xx,xx,xx,RO2,!
IBUTOLBO2,0,C4H9O3,xx,xx,xx,RO2,!
NRN9O2,1,C3H6NO5,xx,xx,xx,RO2;OXN,! nitrate group, nitrogen containing peroxy radical (should not really need advection) from propene NO3 reaction
NISOPO2,1,C5H8NO5,xx,xx,xx,RO2;OXN,! nitrate group, nitrogen containing peroxy radical (should not really need advection)
NC4CO3,1,C5H6NO6,xx,xx,xx,RO2;OXN,! nitrate group, nitrogen containing peroxy radical (should not really need advection)
NOXYOLO2,1,C8H10NO8,xx,xx,xx,RO2;OXN,! nitrate group, nitrogen containing peroxy radical (should not really need advection)
OXNCATECO2,1,C8H10NO9,xx,xx,xx,RO2;OXN,! nitro group, nitrogen containing peroxy radical (should not really need advection)
OXNNCATCO2,1,C8H9N2O11,xx,xx,xx,RO2;OXN,! nitrate and nitro groups, nitrogen containing peroxy radical (should not really need advection)
NOXYOL1O2,1,C8H8NO4,xx,xx,xx,RO2;OXN,! nitro group, nitrogen containing peroxy radical (should not really need advection)
HOCH2CH2O,0,HOCH2CH2O,xx,xx,xx,xx,! 
OXY1O,0,C8H9O,xx,xx,xx,xx,! Xyloxo radical
NOXYOL1O,1,C8H8NO3,xx,xx,xx,OXN,! nitro group, nitrogen containing oxy radical (should not really need advection)
OXCATEC1O,0,C8H9O2,xx,xx,xx,xx,!
*******,Added,for,ESX,xx,xx,advected,!
NMVOC,1,nmvoc,36.767,xx,xx,xx,for_emissions !
********************************************,,,,,,,
*,xx,xx,0,xx,xx,,!
O3,1,O3,xx,O3,xx,daObs;OX,!
NO,1,NO,xx,xx,xx,NOx;OXN,!
NO2,1,NO2,xx,NO2,xx,NOx;OX;OXN;daObs,!
NO3,1,NO3,xx,xx,xx,OXN,!
N2O5,1,N2O5,xx,N2O5,HNO3,OXN,!
H2,1,H2,xx,xx,xx,xx,!
H2O2,1,H2O2,xx,H2O2,H2O2,Hstar_1p0e5;f0_1p0;DRx_1p36,!
HONO,1,HNO2,xx,HNO2,H2O2,OXN;Hstar_2p6e5;f0_0p5;DRx_1p6,! Uncertain about wet-dep, maybe too efficient?
HNO3,1,HNO3,xx,HNO3,HNO3,OXN,!
HO2NO2,1,HO2NO2,xx,HO2NO2,0p8,OXN;Hstar_6p0e4;f0_1p0;DRx_2p1,! Sander gives very variable H 40-20 000 M/atm -> H* 6E2-3E5 M/atm or 4E3-2E6M/atm depending on Ka
CO,1,CO,xx,xx,xx,xx,!
CH4,1,CH4,xx,xx,xx,xx,!
C2H6,1,C2H6,xx,xx,xx,xx,!
NC4H10,1,nC4H10,xx,xx,xx,xx,!
C2H4,1,C2H4,xx,xx,xx,xx,!
C3H6,1,C3H6,xx,xx,xx,xx,!
BENZENE,1,C6H6,xx,xx,xx,xx,!
TOLUENE,1,C7H8,xx,xx,xx,xx,!
OXYL,1,oC6H4(CH3)CH3,xx,xx,xx,xx,!
C5H8,1,CH2=HCC=CH2CH3,xx,xx,xx,BVOC,!
CH3OH,1,CH3OH,xx,xx,xx,xx,! roughly 200 M/atm [Sander]
C2H5OH,1,C2H5OH,xx,xx,xx,xx,! roughly 200 M/atm [Sander]
OXYLOL,1,C8H10O,xx,xx,xx,Hstar_9p4e2;DRx_3p6,! 2,3-DIMETHYLPHENOL, Sander review latest measured H 9.4e2 M/atm 
OXYCATECH,1,C8H10O2,xx,OXYCATECH,H2O2,DRx_3p76;Hstar_1p1e7,! 3,4-Dimethylcatechol [Cc1ccc(O)c(O)c1C]
HCHO,1,HCHO,xx,HCHO,ROOH,RCHO;carbonyl;Hstar_3p2e3;f0_0p2;DRx_1p4,! 
CH3CHO,1,CH3CHO,xx,ALD,xx,RCHO;carbonyl;Hstar_1p3e1;f0_0p05;DRx_2p1,!
MACR,1,CH2=CCH3CHO,xx,MEK,xx,RCHO;carbonyl;Hstar_5p0e0;f0_0p05;DRx_2p6,!
MEK,1,CH3COC2H5,xx,MEK,xx,carbonyl;Hstar_2p0e1;f0_0p05;DRx_2p7,!
MVK,1,CH3C(=O)CH=CH2,xx,MEK,xx,carbonyl;Hstar_3p0e1;f0_0p05;DRx_2p6,! 
